"method","type","param","cluster","dim.x","mean","sd","lower","upper","width","dim.y","true","bias","rmse"
"connectivity_only","sigma","sigma[1,4]",1,4,1.23244838078787,0.310755685136262,0.86436683866019,1.88125324439933,1.01688640573914,2,1,0.23244838078787,0.388073891901285
"connectivity_only","sigma","sigma[1,4]",1,4,1.23244838078787,0.310755685136262,0.86436683866019,1.88125324439933,1.01688640573914,3,1,0.23244838078787,0.388073891901285
"connectivity_only","sigma","sigma[1,4]",1,4,1.23244838078787,0.310755685136262,0.86436683866019,1.88125324439933,1.01688640573914,4,1,0.23244838078787,0.388073891901285
"connectivity_only","sigma","sigma[2,1]",2,1,0.913881548287337,0.390516062117321,0.279703118774024,1.75006472144636,1.47036160267233,1,1.5,-0.586118451712663,0.704299392453003
"connectivity_only","sigma","sigma[2,1]",2,1,0.913881548287337,0.390516062117321,0.279703118774024,1.75006472144636,1.47036160267233,2,1.5,-0.586118451712663,0.704299392453003
"connectivity_only","sigma","sigma[2,1]",2,1,0.913881548287337,0.390516062117321,0.279703118774024,1.75006472144636,1.47036160267233,3,1.5,-0.586118451712663,0.704299392453003
"connectivity_only","sigma","sigma[2,1]",2,1,0.913881548287337,0.390516062117321,0.279703118774024,1.75006472144636,1.47036160267233,4,1.5,-0.586118451712663,0.704299392453003
"connectivity_only","sigma","sigma[2,2]",2,2,1.01987354264663,0.450028669205414,0.264578962382892,1.95078220134357,1.68620323896068,1,1.5,-0.48012645735337,0.658063232643713
"connectivity_only","sigma","sigma[2,2]",2,2,1.01987354264663,0.450028669205414,0.264578962382892,1.95078220134357,1.68620323896068,2,1.5,-0.48012645735337,0.658063232643713
"connectivity_only","sigma","sigma[2,2]",2,2,1.01987354264663,0.450028669205414,0.264578962382892,1.95078220134357,1.68620323896068,3,1.5,-0.48012645735337,0.658063232643713
"connectivity_only","sigma","sigma[2,2]",2,2,1.01987354264663,0.450028669205414,0.264578962382892,1.95078220134357,1.68620323896068,4,1.5,-0.48012645735337,0.658063232643713
"connectivity_only","sigma","sigma[2,3]",2,3,1.26319271724237,0.579427015899861,0.25414470739769,2.444555258968,2.19041055157031,1,1.5,-0.236807282757634,0.62594996279389
